chr4	47840123	47840683	CORIN
chr10	15000787	15000925	MEIG1
chr12	95467979	95468114	NR2C1
chr3	127633557	127633768	KBTBD12
chr5	60140602	60141082	ELOVL7
chr8	132915333	132915779	EFR3A
chr12	118500960	118501134	WSB2
chr9	75695665	75696132	ALDH1A1
chr17	10560912	10560998	MYH3
chr17	1665107	1665251	SERPINF1
chr22	42371888	42372013	SEPT3
chr12	122355247	122355636	WDR66
chr22	42371274	42371678	SEPT3
chr4	7043264	7043392	TADA2B
chr19	10811157	10811414	QTRT1
chr2	25015003	25015168	CENPO
chr5	55529375	55529572	ANKRD55
chr13	53028571	53028644	CKAP2
chr12	77156366	77156451	ZDHHC17
chr5	158689087	158689448	UBLCP1
chr2	189155504	189155842	GULP1
chr19	34849700	34849811	GPI
chr10	21463858	21463950	NEBL
