chromosome	pos	Human_ND_meth	Chimp_ND_meth	Macaque_ND_meth	Human_OD_meth	Chimp_OD_meth	Macaque_OD_meth	stat_all	pval_all	fdr_all	stat_Human_NDvsOD	pval_Human_NDvsOD	fdr_Human_NDvsOD	stat_Chimp_NDvsOD	pval_Chimp_NDvsOD	fdr_Chimp_NDvsOD	stat_Macaque_NDvsOD	pval_Macaque_NDvsOD	fdr_Macaque_NDvsOD
chr1	1059879	0.925	0.909	0.899	0.48	0.297	0.121	-13.2155156994744	7.1395317135423e-40	1.53067997864317e-38	-6.37837133836075	1.78981115706413e-10	1.63423736222495e-09	-6.63080580636198	3.3385922644521e-11	5.36827871663499e-10	-12.5238202521585	5.5307618724025e-36	2.31642170308176e-34
chr1	1072888	0.238	0.415	0.451	0.008	0.0	0.029	-8.67647951395946	4.08208237893972e-18	3.91798737142238e-17	-4.07025620153136	4.69614636233227e-05	0.000247553225655107	-5.92860909652013	3.05511406003951e-09	3.91661832987436e-08	-5.84000642556723	5.21988089497607e-09	4.23688127212896e-08
chr1	1079559	0.938	0.836	0.87	0.725	0.351	0.631	-7.35908015714181	1.85181813760412e-13	1.37906922685991e-12	-4.21313541147387	2.51849970006352e-05	0.000137542223465458	-4.5799989544499	4.64978254428075e-06	3.90810975781624e-05	-3.07544614277448	0.0021018788525284	0.00849654864842251
chr1	1084592	0.888	0.968	0.955	0.632	0.732	0.763	-7.71585296924196	1.20175787035979e-14	9.59653674145407e-14	-4.82140980470201	1.4254717152379e-06	9.02006682381454e-06	-3.64449348576983	0.000267918920997875	0.00167727062586574	-4.39837621516896	1.09063802501312e-05	6.26552975156805e-05
chr1	1105716	0.665	0.667	0.733	0.502	0.235	0.228	-6.18012269632201	6.40518012453555e-10	3.76727025229578e-09	-3.13425827958828	0.00172289135675623	0.00710595942911758	-2.57498749655622	0.0100243710356402	0.0433049521461382	-4.71438221083435	2.42445201990757e-06	1.50523600365179e-05
chr1	1121036	0.846	0.86	0.958	0.16	0.15	0.796	-9.74269541770177	1.98225432829359e-22	2.31616490875228e-21	-10.9745049972656	5.06826828760705e-28	1.54789607371118e-26	-6.39532299820804	1.60208330038355e-10	2.38444676298709e-09	-2.61694849511318	0.00887197270905276	0.0312102392218099
chr1	1153354	0.13	0.326	0.382	0.922	0.983	0.949	19.9053266272248	3.65899049783029e-88	2.74569257112902e-86	13.1287037324674	2.25483227529686e-39	1.45824790011699e-37	8.62773821423665	6.25771065949057e-18	2.01958066868309e-16	8.02456058253512	1.01889997051744e-15	1.37498112525659e-14
chr1	1153442	0.194	0.344	0.422	0.756	0.891	0.761	11.7182605151819	1.02760319214825e-31	1.70045151036665e-30	8.0209670063316	1.0491590881973e-15	1.41946175973678e-14	6.14641067844987	7.92559201142399e-10	1.08931478637202e-08	5.7574562044993	8.53909130695598e-09	6.79746165209756e-08
chr1	1166374	0.222	0.382	0.827	0.025	0.021	0.142	-12.2302205881927	2.14355735096802e-34	3.87603060557991e-33	-6.25492995594261	3.97694360530298e-10	3.52813168176361e-09	-6.12222679252229	9.22765525754839e-10	1.258436737738e-08	-9.73753217471264	2.08557541105266e-22	4.24435946263725e-21
chr1	1166375	0.213	0.226	0.903	0.018	0.031	0.191	-11.0926790717044	1.36148133650464e-28	2.02131509460683e-27	-6.56387231076298	5.24281016804078e-11	5.00098450220236e-10	-4.09953954174849	4.13972939984301e-05	0.000299513894704586	-11.0749539283609	1.65965494875389e-28	4.72983598448499e-27
chr1	1166397	0.214	0.389	0.917	0.04	0.043	0.367	-10.8222050806028	2.7019709152689e-27	3.82610190763242e-26	-4.73153829333013	2.22824771498433e-06	1.37968281565712e-05	-7.53264969257341	4.9720873420183e-14	1.08238318083462e-12	-7.90498172854181	2.679729026396e-15	3.51555676620563e-14
chr1	1191774	0.846	0.902	0.743	0.613	0.406	0.426	-8.24297545308586	1.67980046088551e-16	1.4857355561072e-15	-3.08462551496512	0.0020380859345089	0.00828918636749228	-5.62982230062909	1.80395380171659e-08	2.10408091065712e-07	-4.58550308217827	4.52894593310121e-06	2.72425876109199e-05
chr1	1205033	0.835	0.809	0.82	0.585	0.535	0.624	-6.34477169671921	2.22755535092347e-10	1.35475622970525e-09	-3.7169730121971	0.000201623971381255	0.000971661555795356	-3.49957649836427	0.00046599787123319	0.00278404263546875	-3.83378315532254	0.000126187391226093	0.000627578937932331
chr1	1206982	0.884	0.848	0.493	0.639	0.679	0.233	-5.06484159852118	4.08740077184004e-07	1.89738644649883e-06	-5.42977483819239	5.64251955159713e-08	4.12445394196201e-07	-2.63741147846607	0.00835414264896816	0.0369551848730422	-2.48048578897007	0.0131203493676398	0.0441518554452882
chr1	1212494	0.717	0.872	0.755	0.547	0.716	0.5	-6.44366590123671	1.16621658977993e-10	7.23744290879464e-10	-3.26030206844287	0.00111293615747085	0.00475268506849979	-3.23508993506661	0.00121604420854937	0.00665486115209668	-4.89973970672571	9.59637053372388e-07	6.23050086762992e-06
chr1	1236787	0.403	0.509	0.577	0.814	0.933	0.785	9.21220047935491	3.1950666217993e-20	3.3885811483856e-19	6.85137391457418	7.31440511240265e-12	7.46542927140665e-11	6.95934805549833	3.41850991193252e-12	6.12795208904855e-11	3.30857217387188	0.000937730114637145	0.0040486564131742
chr1	1253970	0.322	0.436	0.611	0.968	0.961	0.951	13.9133784058325	5.25380124080656e-44	1.27233398853377e-42	11.1878427077234	4.67673746990122e-29	1.52701400050598e-27	7.52791863046334	5.15555012857464e-14	1.12047611162586e-12	6.55713901410304	5.48498785027916e-11	5.26311950000257e-10
chr1	1282923	0.281	0.517	0.661	0.775	0.875	0.932	10.8730537640923	1.54926827272921e-27	2.21329902098743e-26	7.11051635547644	1.15609600632958e-12	1.25461914599625e-11	4.27810923253197	1.88487526420194e-05	0.000144155362894787	5.64539659275027	1.64800902433589e-08	1.27798163348776e-07
